Language	Concept	Form	Tokens	SimpleCognate	PartialCognate	Morphemes	Notes	Portuguese	Semantic	Concepticon	Eol
Cocama_Cocamilla	SHARPEN	aimita	ai m i t a	1975.0	14198	SHARPEN		AFIAR	SENSE_PERCEPTION	251	
Purubora	SHARPEN	ʃɨka	ʃ ɨ k a			SHARPEN		AFIAR	SENSE_PERCEPTION	251	
Karo_Arara	SHELL / BARK	aʔ-tsaʔpe	a ʔ + ts a ʔ p e	1985.0	14256 14252	_shell SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Purubora	SHELL / BARK	tabe	t a b e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Purubora	SHELL / BARK	boba	b o b a	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Makurap	SHELL / BARK	ape	a p e	1985.0	14252	BARK		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Wayoro	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Tupari	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Akuntsu	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Mekens_Sakurabiat	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Gaviao_Ikoloehj	SHELL / BARK	tsabee	ts a b eː	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Arua	SHELL / BARK	tsabe	ts a b e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Zoro	SHELL / BARK	sabee	s a b eː	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Surui_Paiter	SHELL / BARK	serek	s e r e k	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Karitiana	SHELL / BARK	pɨkɨp	p ɨ k ɨ p	1987.0	14254	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Arikem	SHELL / BARK	ɨba_pa	ɨ b a + p a	1985.0	14252 14254	SHELL _shell		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Xipaya	SHELL / BARK	sa	s a	1988.0	14258	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Juruna_Yudja	SHELL / BARK	abe	a b e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Munduruku	SHELL / BARK	ʃee	ʃ eː	1988.0	14258	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Kuruaya	SHELL / BARK	ja-kie	j a + k ie	1987.0	14257 14254	_shell SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Satere_Mawe	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Aweti	SHELL / BARK	pe	p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Parakana	SHELL / BARK	pirer	p i r e r	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Asurini_do_Tocantins	SHELL / BARK	pirer	p i r e r	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Surui_Aikewara	SHELL / BARK	pira	p i r a	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Tapirape_Apyawa	SHELL / BARK	ɨpe	ɨ p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Tembe	SHELL / BARK	pe	p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Guajajara	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Apiaka	SHELL / BARK	pe	p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Parintintin	SHELL / BARK	pe	p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Tenharim	SHELL / BARK	pe	p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Urueuwauwau	SHELL / BARK	pe	p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Kayabi	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Arawete	SHELL / BARK	pɨde	p ɨ d e	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Guaja	SHELL / BARK	jakakʷa	j a k a kʷ a	1989.0	14255	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Emerillon_Teko	SHELL / BARK	wirer	w i r e r	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Wayampi	SHELL / BARK	pile	p i l e	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Zo_e	SHELL / BARK	piret	p i r e t	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Ka_apor_Urubu	SHELL / BARK	pirer	p i r e r	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Kamajura	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Asurini_do_Xingu	SHELL / BARK	ʔapepera	ʔ a p e p e r a	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Ava_Canoeiro	SHELL / BARK	pirik	p i r i k	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Tupinamba	SHELL / BARK	pira	p i r a	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Nheengatu	SHELL / BARK	pirera	p i r e r a	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Yuki	SHELL / BARK	ekʷe	e kʷ e	1987.0	14254	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Guarayo	SHELL / BARK	pirer	p i r e r	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Siriono	SHELL / BARK	eke	e k e	1987.0	14254	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Warazu_Pauserna	SHELL / BARK	pekʷe	p e kʷ e	1987.0	14254	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Chiriguano	SHELL / BARK	pire	p i r e	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Mbya	SHELL / BARK	pekue	p e k ue	1987.0	14254	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Guarani_Paraguay	SHELL / BARK	ape	a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Old_Guarani	SHELL / BARK	pekʷe	p e kʷ e	1987.0	14254	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Guayaki_Ache	SHELL / BARK	dʒape	dʒ a p e	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Guayaki_Ache	SHELL / BARK	duwi	d u w i	1985.0	14252	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Xeta	SHELL / BARK	pegwi	p e gw/gʷ i	1987.0	14254	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Kaiowa	SHELL / BARK	pire	p i r e	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Chiripa_Nandeva_Ava_Guarani	SHELL / BARK	pirekʷe	p i r e kʷ e	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Omagua	SHELL / BARK	piruara	p i r ua r a	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Cocama_Cocamilla	SHELL / BARK	pirwara	p i r w a r a	1986.0	14253	SHELL		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Kepkiriwat	SHELL / BARK	ape	a p e			BARK		CASCA / PELE	AGRICULTURE_AND_VEGETATION	1204 / 2127	
Karo_Arara	SHORT	piʔʃap	p i ʔ ʃ a p	1995.0	14316	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Makurap	SHORT	ndoi	nd oi	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Tupari	SHORT	taanom	t aː n o m	1999.0	14320	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Akuntsu	SHORT	pia	p ia	1993.0	14313	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Cinta_Larga	SHORT	kep	k e p	1994.0	14315	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Gaviao_Ikoloehj	SHORT	kúβ	k ú β	1994.0	14315	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Monde	SHORT	ʃĩin	ʃ ĩi n	1997.0	14318	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Xipaya	SHORT	jaturĩ	j a t u r ĩ	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Juruna_Yudja	SHORT	idúrĩ	i d ú r ĩ	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Munduruku	SHORT	apĩ́n	a p ĩ́ n	1993.0	14313	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Kuruaya	SHORT	ʔipie	ʔ i p ie	1993.0	14313	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Satere_Mawe	SHORT	ɨtʔiwopʔi	ɨ t ʔ i w o p ʔ i	1998.0	14319	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Parakana	SHORT	apoʔa	a p o ʔ a	1995.0	14316	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Surui_Aikewara	SHORT	atuɾuʔe	a t u ɾ u ʔ e	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Parintintin	SHORT	ɨwɨiwe	ɨ w ɨi w e	1996.0	14317	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Amondawa	SHORT	jatɨriʔi	j a t ɨ r i ʔ i	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Tenharim	SHORT	ɨwɨiwe	ɨ w ɨi w e	1996.0	14317	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Tenharim	SHORT	jatɨriʔi	j a t ɨ r i ʔ i	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Urueuwauwau	SHORT	ɨwɨiwe	ɨ w ɨi w e	1996.0	14317	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Urueuwauwau	SHORT	jatuʔri	j a t u ʔ r i	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Kayabi	SHORT	ɨwɨiwe	ɨ w ɨi w e	1996.0	14317	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Emerillon_Teko	SHORT	tukug	t u k u g	1994.0	14315	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Wayampi	SHORT	atu	a t u	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Zo_e	SHORT	pua	p ua	1993.0	14313	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Anambe	SHORT	atuĩ	a t uĩ	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Tupinamba	SHORT	akɨtaʔĩ	a k ɨ t a ʔ ĩ	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Tupinamba	SHORT	apwaʔĩ	a pʷ a ʔ ĩ	1995.0	14316	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Siriono	SHORT	eaka	ea k a	1994.0	14315	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Siriono	SHORT	ejua	e j ua	2000.0	14321	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Mbya	SHORT	apuʔa	a p u ʔ a	1995.0	14316	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Guarani_Paraguay	SHORT	mbɨkɨ	mb ɨ k ɨ	1993.0	14313	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Xeta	SHORT	naker	n a k e r	1994.0	14315	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Tapiete	SHORT	ʃutu	ʃ u t u	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Omagua	SHORT	jaturu	j a t u r u	1992.0	14314	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Karitiana	SHORT	okɨ̃n	o k ɨ̃ n	1997.0	14318	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Arikem	SHORT	teg napa	t e g + n a p a	1833.0	249	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Guayaki_Ache	SHORT	kɨtã	k ɨ t ã			SHORT		CURTO	SPATIAL_RELATIONS	1645	
Guaja	SHORT	japaʔa	j a p a ʔ a			SHORT		CURTO	SPATIAL_RELATIONS	1645	
Aweti	SHORT	atɨk	a t ɨ k	2899.0	666	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Wayoro	SHORT	kãmerom	k ã m e r o m	2917.0	699	SHORT		CURTO	SPATIAL_RELATIONS	1645	
Karo_Arara	SICK / ILL	wãk	w ã k	2002.0	14351	SICK		DOENTE	BODY	1847	
Purubora	SICK / ILL	wowa	w o w a	2002.0	14351	SICK		DOENTE	BODY	1847	
Makurap	SICK / ILL	tʃeptʃati	tʃ e p tʃ a t i	2003.0	14353	SICK		DOENTE	BODY	1847	
Tupari	SICK / ILL	awaka	a w a k a	2002.0	14351	SICK		DOENTE	BODY	1847	
Akuntsu	SICK / ILL	atʃipimo	a tʃ i p i m o	2004.0	14348	SICK		DOENTE	BODY	1847	
Mekens_Sakurabiat	SICK / ILL	tseatsí_punajntu	ts ea ts í/i + p u n a j n t u	2001.0	14353 14350	_sick SICK		DOENTE	BODY	1847	
Gaviao_Ikoloehj	SICK / ILL	tahtía	t a t ía	2003.0	14353	SICK		DOENTE	BODY	1847	
Monde	SICK / ILL	βatik	β a t i k	2002.0	14351	SICK		DOENTE	BODY	1847	
Arua	SICK / ILL	atiká	a t i k á/a	2002.0	14351	SICK		DOENTE	BODY	1847	
Surui_Paiter	SICK / ILL	adob	a d o b	2004.0	14348	SICK		DOENTE	BODY	1847	
Juruna_Yudja	SICK / ILL	kanemá_ndea_dʒu	k a n e m á/a + nd/ⁿd ea + dʒ u	2004.0	14354 14348 14355	_sick SICK _sick		DOENTE	BODY	1847	
Munduruku	SICK / ILL	wãtaʃipi	w ã t a ʃ i p i	2004.0	14348	SICK		DOENTE	BODY	1847	
Kuruaya	SICK / ILL	taki	t a k i	2002.0	14351	SICK		DOENTE	BODY	1847	
Kuruaya	SICK / ILL	tareg	t a r e g	2003.0	14353	SICK		DOENTE	BODY	1847	
Satere_Mawe	SICK / ILL	ahu	a h u	2001.0	14350	SICK		DOENTE	BODY	1847	
Aweti	SICK / ILL	akupʔa	a k u p ʔ a	2002.0	14351	SICK		DOENTE	BODY	1847	
Parakana	SICK / ILL	ahɨβaʔe	a h ɨ β a ʔ e	2001.0	14350	SICK		DOENTE	BODY	1847	
Asurini_do_Tocantins	SICK / ILL	ahɨ	a h ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Surui_Aikewara	SICK / ILL	ahɨ	a h ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Tapirape_Apyawa	SICK / ILL	mamaʔeãj	m a m a ʔ eã j	2005.0	14352	SICK		DOENTE	BODY	1847	
Tembe	SICK / ILL	ahɨ	a h ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Guajajara	SICK / ILL	maʔehɨ	m a ʔ e h ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Parintintin	SICK / ILL	tetirũ	t e t i r ũ	2003.0	14353	SICK		DOENTE	BODY	1847	
Tenharim	SICK / ILL	tetirũ	t e t i r ũ	2003.0	14353	SICK		DOENTE	BODY	1847	
Arawete	SICK / ILL	hahi	h a h i	2001.0	14350	SICK		DOENTE	BODY	1847	
Guaja	SICK / ILL	ahɨ	a h ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Emerillon_Teko	SICK / ILL	baʔelaɨ	b a ʔ e l aɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Wayampi	SICK / ILL	tekolã	t e k o l ã	2003.0	14353	SICK		DOENTE	BODY	1847	
Zo_e	SICK / ILL	ahɨ	a h ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Ka_apor_Urubu	SICK / ILL	ahɨ	a h ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Anambe	SICK / ILL	maʔarahɨpuhɨ̃meʔẽhã	m a ʔ a r a h ɨ p u h ɨ̃ m e ʔ ẽ h ã	2006.0	14349	SICK		DOENTE	BODY	1847	
Kamajura	SICK / ILL	akup	a k u p	2002.0	14351	SICK		DOENTE	BODY	1847	
Asurini_do_Xingu	SICK / ILL	marin	m a r i n	2005.0	14352	SICK		DOENTE	BODY	1847	
Ava_Canoeiro	SICK / ILL	maran	m a r a n	2005.0	14352	SICK		DOENTE	BODY	1847	
Tupinamba	SICK / ILL	maraʔar	m a r a ʔ a r	2005.0	14352	SICK		DOENTE	BODY	1847	
Nheengatu	SICK / ILL	sasi	s a s i	2001.0	14350	SICK		DOENTE	BODY	1847	
Lingua_Geral_Paulista_Tupi_austral	SICK / ILL	rasi	r a s i	2001.0	14350	SICK		DOENTE	BODY	1847	
Yuki	SICK / ILL	rasi	r a s i	2001.0	14350	SICK		DOENTE	BODY	1847	
Guarayo	SICK / ILL	atsɨ	a ts ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Siriono	SICK / ILL	asi	a s i	2001.0	14350	SICK		DOENTE	BODY	1847	
Warazu_Pauserna	SICK / ILL	mãrã	m ã r ã	2005.0	14352	SICK		DOENTE	BODY	1847	
Chiriguano	SICK / ILL	asɨ	a s ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Mbya	SICK / ILL	mbaʔeatʃɨ	mb/ⁿb a ʔ ea tʃ ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Guarani_Paraguay	SICK / ILL	asɨ	a s ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Old_Guarani	SICK / ILL	asɨ	a s ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Guayaki_Ache	SICK / ILL	atʃɨ	a tʃ ɨ	2004.0	14348	SICK		DOENTE	BODY	1847	
Kaiowa	SICK / ILL	hasɨ	h a s ɨ	2001.0	14350	SICK		DOENTE	BODY	1847	
Tapiete	SICK / ILL	hãʔi	h ã ʔ i	2001.0	14350	SICK		DOENTE	BODY	1847	
Omagua	SICK / ILL	ajkua	a j k ua	2002.0	14351	SICK		DOENTE	BODY	1847	
Cocama_Cocamilla	SICK / ILL	ajkua	a j k ua	2002.0	14351	SICK		DOENTE	BODY	1847	
Karitiana	SICK / ILL	kindutí	k i n d u t í	2003.0	14353	SICK		DOENTE	BODY	1847	
Wayoro	SICK / ILL	jati	j a t i	2001.0	14350	SICK		DOENTE	BODY	1847	
Karo_Arara	SING	óra	ó r a	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Purubora	SING	i	i	2015.0	14407	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Makurap	SING	tʃako	tʃ a k o	2010.0	14403	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Wayoro	SING	gora	g o r a	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Akuntsu	SING	niã_kwa	n iã + kʷ a	2010.0	14402 14403	_sing SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Gaviao_Ikoloehj	SING	berra	b e rː a	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Monde	SING	mboreβa	mb o r e β a	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Arua	SING	barewá	b a r e w á	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Xipaya	SING	bɨja	b ɨ j a	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Juruna_Yudja	SING	abɨá	a b ɨá	2010.0	14403	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Juruna_Yudja	SING	buijána	b ui j á n a	2012.0	14408	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Kuruaya	SING	ðekabiðoðon	ð e k a b i ð o ð o n	2014.0	14406	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Satere_Mawe	SING	mepɨ	m e p ɨ	2010.0	14403	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Aweti	SING	tepɨ	t e p ɨ	2010.0	14403	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Parakana	SING	ʃeʔegan	ʃ e ʔ e g a n	2011.0	14405	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Asurini_do_Tocantins	SING	seʔengát	s e ʔ e n g á t	2011.0	14405	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Surui_Aikewara	SING	seʔeŋaɾ	s e ʔ e ŋ a ɾ	2011.0	14405	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Tapirape_Apyawa	SING	marãka	m a r ã k a	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Parintintin	SING	mbɨʔɨi	mb ɨ ʔ ɨi	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Amondawa	SING	mbɨʔɨi	mb ɨ ʔ ɨi	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Tenharim	SING	mbɨʔɨi	mb ɨ ʔ ɨi	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Urueuwauwau	SING	mbɨʔɨi	mb ɨ ʔ ɨi	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Arawete	SING	jija	j i j a	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Wayampi	SING	jenga	j e n g a	2012.0	14408	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Anambe	SING	jeʔẽgã	j e ʔ ẽ g ã	2011.0	14405	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Tupinamba	SING	ɲeʔeŋgar	ɲ e ʔ e ŋg a r	2011.0	14405	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Siriono	SING	ɨraseɨ	ɨ r a s eɨ	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Mbya	SING	poraej	p o r ae j	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Guarani_Paraguay	SING	purahéj	p u r a h é j	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Old_Guarani	SING	mburahej	mb u r a h e j	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Xeta	SING	paraj	p a r a j	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Tapiete	SING	pɨrahe	p ɨ r a h e	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Omagua	SING	ikiara	i k ia r a	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Karitiana	SING	hɨ̃rɨ̃ɲ	h ɨ̃ r ɨ̃ ɲ	1477.0	160	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Nheengatu	SING	ɲeeŋgári	ɲ e e ŋg á r i	2011.0	14405	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Asurini_do_Tocantins	SING	aʔɨŋ	a ʔ ɨ ŋ	2011.0	14405	SING	Only woman	CANTAR	SPEECH_AND_LANGUAGE	1261	
Cinta_Larga	SING	bérewá	b é r e w á	2009.0	14404	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Munduruku	SING	dʒebibodon	dʒ e b i b o d o n			SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Guayaki_Ache	SING	preʔe	p r e ʔ e			SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Guaja	SING	jã	j ã			SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Zo_e	SING	dider	d i d e r	2910.0	689	SING		CANTAR	SPEECH_AND_LANGUAGE	1261	
Karo_Arara	SISTER	anãtŋa	a n ã t ŋ a	2020.0	14441	SISTER,		IRMÃ	KINSHIP	1263	
Purubora	SISTER	õã	õã	2018.0	14439	SISTER,		IRMÃ	KINSHIP	1263	
Purubora	SISTER	aʃá	a ʃ á	2022.0	14443	SISTER,		IRMÃ	KINSHIP	1263	
Makurap	SISTER	kojtpet-et	k o j t p e t + e t	2016.0	14437 14439	SISTER, _sister		IRMÃ	KINSHIP	1263	
Cinta_Larga	SISTER	umpar	u mp/ⁿp a r	2021.0	14442	SISTER,		IRMÃ	KINSHIP	1263	
Arua	SISTER	ambojd	a mb/ⁿb o j d	2020.0	14441	SISTER,		IRMÃ	KINSHIP	1263	
Matanau	SISTER	ambój	a mb ó j	2021.0	14442	SISTER,		IRMÃ	KINSHIP	1263	
Kabanae	SISTER	undʒehí	u n dʒ e h í	2018.0	14439	SISTER,		IRMÃ	KINSHIP	1263	
Arikem	SISTER	isɨka	i s ɨ k a	2019.0	14440	SISTER,		IRMÃ	KINSHIP	1263	
Juruna_Yudja	SISTER	wandʒi	w a ndʒ/ⁿdʒ i	2018.0	14439	SISTER,		IRMÃ	KINSHIP	1263	
Juruna_Yudja	SISTER	aĩbí	a ĩ b í/i	2021.0	14442	SISTER,		IRMÃ	KINSHIP	1263	
Kuruaya	SISTER	niwanum	n i w a n u m	2017.0	14438	SISTER,		IRMÃ	KINSHIP	1263	
Satere_Mawe	SISTER	kɨpɨʔɨt	k ɨ p ɨ ʔ ɨ t	2016.0	14437	SISTER,		IRMÃ	KINSHIP	1263	
Satere_Mawe	SISTER	nɨt	n ɨ t	2020.0	14441	SISTER,		IRMÃ	KINSHIP	1263	
Aweti	SISTER	niɨt	n iɨ t	2020.0	14441	SISTER,		IRMÃ	KINSHIP	1263	
Parakana	SISTER	enɨr	e n ɨ r	2017.0	14438	SISTER,		IRMÃ	KINSHIP	1263	
Asurini_do_Tocantins	SISTER	kɨpɨʔɨra	k ɨ p ɨ ʔ ɨ r a	2016.0	14437	SISTER,		IRMÃ	KINSHIP	1263	
Surui_Aikewara	SISTER	emira	e m i r a	2017.0	14438	SISTER,		IRMÃ	KINSHIP	1263	
Tapirape_Apyawa	SISTER	kɨpɨhɨt	k ɨ p ɨ h ɨ t	2016.0	14437	SISTER,		IRMÃ	KINSHIP	1263	
