Language	Concept	Form	Tokens	SimpleCognate	PartialCognate	Morphemes	Notes
Warazu_Pauserna	KNEE	enipɨʔə	e n i p ɨ ʔ ə	1303.0	9473	KNEE	
Chiriguano	KNEE	enepɨa	e n e p ɨa	1303.0	9473	KNEE	
Mbya	KNEE	enapɨʔã	e n a p ɨ ʔ ã	1303.0	9473	KNEE	
Guarani_Paraguay	KNEE	enɨpɨʔa	e n ɨ p ɨ ʔ a	1303.0	9473	KNEE	
Old_Guarani	KNEE	tenɨpɨʔã	t e n ɨ p ɨ ʔ ã	1303.0	9473	KNEE	
Guayaki_Ache	KNEE	kmana	k m a n a	1306.0	9475	KNEE	
Kaiowa	KNEE	hetɨmɨʔã	h e t ɨ m ɨ ʔ ã	1309.0	9477	KNEE	
Tapiete	KNEE	tɨnɨmpɨã	t ɨ n ɨ mp/ⁿp ɨã	1303.0	9473	KNEE	
Chiripa_Nandeva_Ava_Guarani	KNEE	takã	t a k ã	1304.0	9474	KNEE	
Chiripa_Nandeva_Ava_Guarani	KNEE	enɨpɨʔã	e n ɨ p ɨ ʔ ã	1303.0	9473	KNEE	
Omagua	KNEE	sɪnupua	s ɪ n u p ua	1303.0	9473	KNEE	
Cocama_Cocamilla	KNEE	tsenepia	ts e n e p ia	1303.0	9473	KNEE	
Asurini_do_Tocantins	KNEE	kanawá	k a n a w á	1306.0	9475	KNEE	
Karo_Arara	KNIFE	ianakaʔ	ia n a k a ʔ	1313.0	9533	KNIFE	
Purubora	KNIFE	opá	o p á/a	1314.0	9535	KNIFE	
Ntogapid_Itogapuk	KNIFE	biʃá	b i ʃ á/a	1313.0	9533	KNIFE	
Ntogapid_Itogapuk	KNIFE	ijá	i j á/a	1316.0	9536	KNIFE	
Ramarama	KNIFE	ijápokpak	i j á p o k p a k	1318.0	9538	KNIFE	
Makurap	KNIFE	ɲəi	ɲ əi	1317.0	9534	KNIFE	
Wayoro	KNIFE	ŋɨtek	ŋ ɨ t e k	1315.0	9537	KNIFE	
Tupari	KNIFE	potpe	p o t p e	1314.0	9535	KNIFE	
Akuntsu	KNIFE	kɨpetin	k ɨ p e t i n	1313.0	9533	KNIFE DIMINUTIVE	
Cinta_Larga	KNIFE	tape	t a p e	1314.0	9535	KNIFE	
Gaviao_Ikoloehj	KNIFE	tábekor	t á b e k o r	1315.0	9537	KNIFE	
Monde	KNIFE	tabe	t a b e	1314.0	9535	KNIFE	
Monde	KNIFE	tambeá	t a mb/ⁿb eá/ea	1314.0	9535	KNIFE	
Matanau	KNIFE	nabékót	n a b é k ó t	1315.0	9537	KNIFE	
Surui_Paiter	KNIFE	nãbekod	n ã b e k o d	1315.0	9537	KNIFE	
Karitiana	KNIFE	tãnh	t ã nʰ	1313.0	9533	KNIFE	
Arikem	KNIFE	ɲəi	ɲ əi	1317.0	9534	KNIFE	
Xipaya	KNIFE	kʷapá	kʷ a p á/a	1313.0	9533	KNIFE	
Juruna_Yudja	KNIFE	kʷaha	kʷ a h a	1313.0	9533	KNIFE	
Munduruku	KNIFE	kise	k i s e	1313.0	9533	KNIFE	
Kuruaya	KNIFE	kura	k u r a	1313.0	9533	KNIFE	
Satere_Mawe	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	Through LGA
Aweti	KNIFE	kɨte	k ɨ t e	1313.0	9533	KNIFE	
Parakana	KNIFE	kɨʔe	k ɨ ʔ e	1313.0	9533	KNIFE	
Asurini_do_Tocantins	KNIFE	kɨhe	k ɨ h e	1313.0	9533	KNIFE	
Surui_Aikewara	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Tapirape_Apyawa	KNIFE	kɨtʃe	k ɨ tʃ e	1313.0	9533	KNIFE	
Tembe	KNIFE	kɨhe	k ɨ h e	1313.0	9533	KNIFE	
Guajajara	KNIFE	takihe	t a k i h e	1313.0	9533	KNIFE	
Apiaka	KNIFE	itasu	i t a s u	1313.0	9533	KNIFE	
Parintintin	KNIFE	kɨheʔi	k ɨ h e ʔ i	1313.0	9533	KNIFE	
Amondawa	KNIFE	kɨtihaβ	k ɨ t i h a β	1313.0	9533	KNIFE	
Urueuwauwau	KNIFE	kɨʔi	k ɨ ʔ i	1313.0	9533	KNIFE	
Tupi_do_Machado_Wirafed	KNIFE	ɨsɨkeí	ɨ s ɨ k eí/ei	1313.0	9533	KNIFE	
Kayabi	KNIFE	jɨ	j ɨ	1316.0	9536	KNIFE	
Arawete	KNIFE	itʃi	i tʃ i	1313.0	9533	KNIFE	
Guaja	KNIFE	takɨ	t a k ɨ	1315.0	9537	KNIFE	
Emerillon_Teko	KNIFE	marija	m a r i j a	1316.0	9536	KNIFE	
Wayampi	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Zo_e	KNIFE	boke	b o k e	1315.0	9537	KNIFE	
Ka_apor_Urubu	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Anambe	KNIFE	parati	p a r a t i	1313.0	9533	KNIFE	
Kamajura	KNIFE	kɨe	k ɨe	1313.0	9533	KNIFE	
Asurini_do_Xingu	KNIFE	kɨhe	k ɨ h e	1313.0	9533	KNIFE	
Ava_Canoeiro	KNIFE	kɨe	k ɨe	1313.0	9533	KNIFE	
Tupinamba	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Nheengatu	KNIFE	kise	k i s e	1313.0	9533	KNIFE	
Lingua_Geral_Paulista_Tupi_austral	KNIFE	kisé	k i s é/e	1313.0	9533	KNIFE	
Yuki	KNIFE	kise	k i s e	1313.0	9533	KNIFE	
Guarayo	KNIFE	kɨtse	k ɨ ts e	1313.0	9533	KNIFE	
Siriono	KNIFE	kise	k i s e	1313.0	9533	KNIFE	
Warazu_Pauserna	KNIFE	kihe	k i h e	1313.0	9533	KNIFE	
Chiriguano	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Jora	KNIFE	embe	e mb/ⁿb e	1314.0	9535	KNIFE	
Mbya	KNIFE	kɨtʃe	k ɨ tʃ e	1313.0	9533	KNIFE	
Guarani_Paraguay	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Old_Guarani	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Guayaki_Ache	KNIFE	kɨtʃi	k ɨ tʃ i	1313.0	9533	KNIFE	
Xeta	KNIFE	kɨtiha	k ɨ t i h a	1313.0	9533	KNIFE	
Xeta	KNIFE	inapwa	i n a pʷ a	1314.0	9535	KNIFE	
Kaiowa	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Tapiete	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Chiripa_Nandeva_Ava_Guarani	KNIFE	kɨse	k ɨ s e	1313.0	9533	KNIFE	
Omagua	KNIFE	kɨtʃi	k ɨ tʃ i	1313.0	9533	KNIFE	
Cocama_Cocamilla	KNIFE	kɨtʃɨ	k ɨ tʃ ɨ	1313.0	9533	KNIFE	
Karo_Arara	KNOW	tʃaməj	tʃ a m ə j	1324.0	9603	KNOW	
Purubora	KNOW	kɨmeʃa	k ɨ m e ʃ a	1319.0	9600	KNOW	
Makurap	KNOW	boetoʔ	b oe t o ʔ	1320.0	9599	KNOW	
Makurap	KNOW	kiwatoaʔ	k i w a t oa ʔ	1320.0	9599	KNOW	
Wayoro	KNOW	βoẽndop	β oẽ nd/ⁿd o p	1320.0	9599	KNOW	
Tupari	KNOW	top	t o p	1322.0	9604	KNOW	
Akuntsu	KNOW	poetop	p oe t o p	1320.0	9599	KNOW	
Mekens_Sakurabiat	KNOW	soapsamek	s oa p s a m e k	1325.0	9605	KNOW	
Mekens_Sakurabiat	KNOW	poetoa	p oe t oa	1320.0	9599	KNOW	
Cinta_Larga	KNOW	ndzai	nd/ⁿd z ai	1323.0	9602	KNOW	
Gaviao_Ikoloehj	KNOW	jaat	j aː t	1321.0	9601	KNOW	
Arua	KNOW	jaat	j aː t	1321.0	9601	KNOW	
Zoro	KNOW	jaat	j aː t	1321.0	9601	KNOW	
Surui_Paiter	KNOW	kobamne	k o b a m n e	1319.0	9600	KNOW	
Karitiana	KNOW	sõndɨp	s õ nd/ⁿd ɨ p	1320.0	9599	KNOW	'know a fact' < **entup 'hear/listen'
Arikem	KNOW	mweto	mʷ e t o	1320.0	9599	KNOW	
Xipaya	KNOW	bahu	b a h u	1319.0	9600	KNOW	
Juruna_Yudja	KNOW	ubahu	u b a h u	1319.0	9600	KNOW	
Munduruku	KNOW	taybit	t ai b i t	1322.0	9604	KNOW	
Kuruaya	KNOW	taibit	t ai b i t	1322.0	9604	KNOW	
Satere_Mawe	KNOW	kʷap	kʷ a p	1319.0	9600	KNOW	
Aweti	KNOW	kʷap	kʷ a p	1319.0	9600	KNOW	
Parakana	KNOW	akʷaham	a kʷ a h a m	1319.0	9600	KNOW	
Asurini_do_Tocantins	KNOW	kʷahap	kʷ a h a p	1319.0	9600	KNOW	
Surui_Aikewara	KNOW	kʷaha	kʷ a h a	1319.0	9600	KNOW	
Tapirape_Apyawa	KNOW	kaam	k aː m	1319.0	9600	KNOW	
Tembe	KNOW	kʷaw	kʷ a w	1319.0	9600	KNOW	
Guajajara	KNOW	ukʷaw	u kʷ a w	1319.0	9600	KNOW	
Apiaka	KNOW	kʷaham	kʷ a h a m	1319.0	9600	KNOW	
Parintintin	KNOW	kʷaha	kʷ a h a	1319.0	9600	KNOW	
Amondawa	KNOW	kʷaha	kʷ a h a	1319.0	9600	KNOW	
Tenharim	KNOW	kʷaha	kʷ a h a	1319.0	9600	KNOW	
Urueuwauwau	KNOW	kʷaha	kʷ a h a	1319.0	9600	KNOW	
Kayabi	KNOW	kʷaap	kʷ aː p	1319.0	9600	KNOW	
Arawete	KNOW	ka	k a	1319.0	9600	KNOW	
Guaja	KNOW	akʷa	a kʷ a	1319.0	9600	KNOW	
Amanaye	KNOW	kwaé	kʷ a é/e	1319.0	9600	KNOW	
Emerillon_Teko	KNOW	kuwa	k u w a	1319.0	9600	KNOW	
Wayampi	KNOW	kua	k ua	1319.0	9600	KNOW	
Zo_e	KNOW	kuha	k u h a	1319.0	9600	KNOW	
Ka_apor_Urubu	KNOW	kuhã	k u h ã	1319.0	9600	KNOW	
Anambe	KNOW	kuhã	k u h ã	1319.0	9600	KNOW	
Turiwara	KNOW	kʷawa	kʷ a w a	1319.0	9600	KNOW	
Kamajura	KNOW	kʷahap	kʷ a h a p	1319.0	9600	KNOW	
Asurini_do_Xingu	KNOW	kohap	k o h a p	1319.0	9600	KNOW	
Ava_Canoeiro	KNOW	kʷa	kʷ a	1319.0	9600	KNOW	
Tupinamba	KNOW	kugʷaβ	k u gʷ a β	1319.0	9600	KNOW	
Nheengatu	KNOW	kuaw	k ua w	1319.0	9600	KNOW	
Lingua_Geral_Paulista_Tupi_austral	KNOW	koa	k oa	1319.0	9600	KNOW	
Yuki	KNOW	akjatu	a k j a t u	1321.0	9601	KNOW	
Guarayo	KNOW	kʷa	kʷ a	1319.0	9600	KNOW	
Siriono	KNOW	kʷa	kʷ a	1319.0	9600	KNOW	
Warazu_Pauserna	KNOW	kʷa	kʷ a	1319.0	9600	KNOW	
Chiriguano	KNOW	kʷaa	kʷ aː	1319.0	9600	KNOW	
Mbya	KNOW	kʷaʔa	kʷ a ʔ a	1319.0	9600	KNOW	
Guarani_Paraguay	KNOW	kʷaa	kʷ aː	1319.0	9600	KNOW	
Old_Guarani	KNOW	kʷaa	kʷ aː	1319.0	9600	KNOW	
Guayaki_Ache	KNOW	kʷaaʔa	kʷ aː ʔ a	1319.0	9600	KNOW	
Kaiowa	KNOW	kʷaa	kʷ aː	1319.0	9600	KNOW	
Tapiete	KNOW	kʷaʔa	kʷ a ʔ a	1319.0	9600	KNOW	
Omagua	KNOW	ikua	i k ua	1319.0	9600	KNOW	
Cocama_Cocamilla	KNOW	ikua	i k ua	1319.0	9600	KNOW	
Karo_Arara	LARGE ANT / BULLET ANT	napia	n a p ia	1333.0	9715	LARGE_BULLET_ANT	
Purubora	LARGE ANT / BULLET ANT	mĩŋk	m ĩ ŋk/ⁿg	1335.0	9717	LARGE_BULLET_ANT	
Purubora	LARGE ANT / BULLET ANT	ndabiáʔ	nd/ⁿd a b iá/ia	1333.0	9715	LARGE_BULLET_ANT	
Makurap	LARGE ANT / BULLET ANT	ŋapia	ŋ a p ia	1333.0	9715	LARGE_BULLET_ANT	
Wayoro	LARGE ANT / BULLET ANT	ndara	nd/ⁿd a r a	1332.0	9714	LARGE_BULLET_ANT	
Tupari	LARGE ANT / BULLET ANT	hatʔa	h a t ʔ a	1337.0	9719	LARGE_BULLET_ANT	
Akuntsu	LARGE ANT / BULLET ANT	tora	t o r a	1332.0	9714	LARGE_BULLET_ANT	
Mekens_Sakurabiat	LARGE ANT / BULLET ANT	atsikep	a ts i k e p	1334.0	9714	LARGE_BULLET_ANT	
Gaviao_Ikoloehj	LARGE ANT / BULLET ANT	gaatsaa	g aː ts aː	1334.0	9716	LARGE_BULLET_ANT	
Monde	LARGE ANT / BULLET ANT	gasa	g a s a	1334.0	9716	LARGE_BULLET_ANT	
Arua	LARGE ANT / BULLET ANT	gatsa	g a ts a	1334.0	9716	LARGE_BULLET_ANT	
Zoro	LARGE ANT / BULLET ANT	gasaa	g a s aː	1334.0	9716	LARGE_BULLET_ANT	
Surui_Paiter	LARGE ANT / BULLET ANT	ŋalaa	ŋ a l aː	1333.0	9715	LARGE_BULLET_ANT	
Karitiana	LARGE ANT / BULLET ANT	nopĩ	n o p ĩ	1333.0	9715	LARGE_BULLET_ANT	
Arikem	LARGE ANT / BULLET ANT	nompi	n o mp/ⁿp i	1333.0	9715	LARGE_BULLET_ANT	
Xipaya	LARGE ANT / BULLET ANT	ida	i d a	1334.0	9716	LARGE_BULLET_ANT	
Juruna_Yudja	LARGE ANT / BULLET ANT	anãbi	a n ã b i	1333.0	9715	LARGE_BULLET_ANT	
Munduruku	LARGE ANT / BULLET ANT	dapsa	d a p s a	1333.0	9715	LARGE_BULLET_ANT	
Kuruaya	LARGE ANT / BULLET ANT	labia	l a b ia	1333.0	9715	LARGE_BULLET_ANT	
Satere_Mawe	LARGE ANT / BULLET ANT	watiamã	w a t ia m ã	1336.0	9718	LARGE_BULLET_ANT	
Parakana	LARGE ANT / BULLET ANT	tokanɨr	t o k a n ɨ r	1332.0	9714	LARGE_BULLET_ANT	
Surui_Aikewara	LARGE ANT / BULLET ANT	tukaŋɨra	t u k a ŋ ɨ r a	1332.0	9714	LARGE_BULLET_ANT	
Guajajara	LARGE ANT / BULLET ANT	tukagɨr	t u k a g ɨ r	1332.0	9714	LARGE_BULLET_ANT	
Apiaka	LARGE ANT / BULLET ANT	tukãŋere	t u k ã ŋ e r e	1332.0	9714	LARGE_BULLET_ANT	
Parintintin	LARGE ANT / BULLET ANT	tukaʔndɨr	t u k a ʔ nd/ⁿd ɨ r	1332.0	9714	LARGE_BULLET_ANT	
Amondawa	LARGE ANT / BULLET ANT	tukaʔŋɨr	t u k a ʔ ŋ ɨ r	1332.0	9714	LARGE_BULLET_ANT	
Tenharim	LARGE ANT / BULLET ANT	tukaʔŋɨr	t u k a ʔ ŋ ɨ r	1332.0	9714	LARGE_BULLET_ANT	
Kayabi	LARGE ANT / BULLET ANT	tukaʔŋɨr	t u k a ʔ ŋ ɨ r	1332.0	9714	LARGE_BULLET_ANT	
Arawete	LARGE ANT / BULLET ANT	tukaji	t u k a j i	1332.0	9714	LARGE_BULLET_ANT	
Emerillon_Teko	LARGE ANT / BULLET ANT	tɨkadɨɾ	t ɨ k a d ɨ ɾ	1332.0	9714	LARGE_BULLET_ANT	
Wayampi	LARGE ANT / BULLET ANT	tukãngɨ	t u k ã n g ɨ	1332.0	9714	LARGE_BULLET_ANT	
Ka_apor_Urubu	LARGE ANT / BULLET ANT	tarakuʔa	t a r a k u ʔ a	1332.0	9714	LARGE_BULLET_ANT	
Tupinamba	LARGE ANT / BULLET ANT	kaŋɨra	k a ŋ ɨ r a	1332.0	9714	LARGE_BULLET_ANT	
Nheengatu	LARGE ANT / BULLET ANT	tukandira	t u k a nd/ⁿd i r a	1332.0	9714	LARGE_BULLET_ANT	
Guarayo	LARGE ANT / BULLET ANT	tukaŋɨr	t u k a ŋ ɨ r	1332.0	9714	LARGE_BULLET_ANT	
Mbya	LARGE ANT / BULLET ANT	araraʔa	a r a r a ʔ a	1332.0	9714	LARGE_BULLET_ANT	
Guarani_Paraguay	LARGE ANT / BULLET ANT	tukandi	t u k a n d i	1332.0	9714	LARGE_BULLET_ANT	
Omagua	LARGE ANT / BULLET ANT	tukanɨra	t u k a n ɨ r a	1332.0	9714	LARGE_BULLET_ANT	
Karo_Arara	LARGE MANDI FISH	ip_nakãra	i p + n a k ã r a	1344.0	9759 9760	_large LARGE	
Purubora	LARGE MANDI FISH	waita	w ai t a	1342.0	9761	LARGE	
Makurap	LARGE MANDI FISH	mũkʷa	m ũ kʷ a	1341.0	9751	LARGE	
Wayoro	LARGE MANDI FISH	ʔiβot_kʷaret	ʔ i β o t + kʷ a r e t	1338.0	9753 9760	LARGE _large	
Tupari	LARGE MANDI FISH	ikĩn	i k ĩ n	1341.0	9751	LARGE	
Akuntsu	LARGE MANDI FISH	jõkoa_	j õ k oa +	1341.0	9751	LARGE	
Mekens_Sakurabiat	LARGE MANDI FISH	õkoa	õ k oa	1341.0	9751	LARGE	
Gaviao_Ikoloehj	LARGE MANDI FISH	dolo	d o l o	1343.0	9756	LARGE	
Monde	LARGE MANDI FISH	bolip_βapeʔa	b o l i p + β a p e ʔ a	1343.0	9756 9762	LARGE _large	
Arua	LARGE MANDI FISH	ojit	o j i t	1345.0	9754	LARGE	
Zoro	LARGE MANDI FISH	baloo	b a l oː	1343.0	9756	LARGE	
Surui_Paiter	LARGE MANDI FISH	jojpoo	j o j p oː	1350.0	9763	LARGE	
Karitiana	LARGE MANDI FISH	ɲõɲ_pektɨ	ɲ õ ɲ + p e k + t ɨ	1346.0	9757 9758	? ? BIG	
Arikem	LARGE MANDI FISH	mbaraba	mb/ⁿb a r a b a	1338.0	9753	LARGE	
Xipaya	LARGE MANDI FISH	mãndi	m ã nd/ⁿd i	1339.0	9752	LARGE	
Munduruku	LARGE MANDI FISH	wasə̃	w a s ə̃	1342.0	9761	LARGE	
Kuruaya	LARGE MANDI FISH	wísi	w í/i s i	1342.0	9761	LARGE	
Satere_Mawe	LARGE MANDI FISH	mãti	m ã t i	1339.0	9752	LARGE	
Aweti	LARGE MANDI FISH	tiniãwatu	t i n iã w a t u	1340.0	9755	LARGE	
Parakana	LARGE MANDI FISH	ʃaniʔa	ʃ a n i ʔ a	1340.0	9755	LARGE	
Parakana	LARGE MANDI FISH	tororopɨ	t o r o r o p ɨ	1338.0	9753	LARGE	
Surui_Aikewara	LARGE MANDI FISH	manowe	m a n o w e	1340.0	9755	LARGE	
Tembe	LARGE MANDI FISH	maniʔi	m a n i ʔ i	1340.0	9755	LARGE	
Tembe	LARGE MANDI FISH	uruwi	u r u w i	1338.0	9753	LARGE	
Guajajara	LARGE MANDI FISH	uruwi	u r u w i	1338.0	9753	LARGE	
Parintintin	LARGE MANDI FISH	huruvi	h u r u v i	1338.0	9753	LARGE	
Amondawa	LARGE MANDI FISH	tɨ̃ʔĩ	t ɨ̃ ʔ ĩ	1339.0	9752	LARGE	
Amondawa	LARGE MANDI FISH	huruvi	h u r u v i	1338.0	9753	LARGE	
Tenharim	LARGE MANDI FISH	tɨ̃ʔĩ	t ɨ̃ ʔ ĩ	1339.0	9752	LARGE	
Tenharim	LARGE MANDI FISH	huruvi	h u r u v i	1338.0	9753	LARGE	
Jiahoi	LARGE MANDI FISH	tɨ̃ʔĩ	t ɨ̃ ʔ ĩ	1339.0	9752	LARGE	
Jiahoi	LARGE MANDI FISH	huruvi	h u r u v i	1338.0	9753	LARGE	
Urueuwauwau	LARGE MANDI FISH	uruvi	u r u v i	1338.0	9753	LARGE	
Kayabi	LARGE MANDI FISH	uruvi	u r u v i	1338.0	9753	LARGE	
Arawete	LARGE MANDI FISH	tʃuruɨ	tʃ u r uɨ	1338.0	9753	LARGE	
Emerillon_Teko	LARGE MANDI FISH	uruwi	u r u w i	1338.0	9753	LARGE	
Wayampi	LARGE MANDI FISH	maniʔisĩ	m a n i ʔ i s ĩ	1340.0	9755	LARGE	
Zo_e	LARGE MANDI FISH	suruwi	s u r u w i	1338.0	9753	LARGE	
Kamajura	LARGE MANDI FISH	huruwi	h u r u w i	1338.0	9753	LARGE	
Tupinamba	LARGE MANDI FISH	mandiʔĩ	m a nd/ⁿd i ʔ ĩ	1339.0	9752	LARGE	
Tupinamba	LARGE MANDI FISH	surubi	s u r u b i	1338.0	9753	LARGE	
Nheengatu	LARGE MANDI FISH	wiri	w i r i	1342.0	9761	LARGE	
Mbya	LARGE MANDI FISH	mandi	m a nd/ⁿd i	1339.0	9752	LARGE	
Old_Guarani	LARGE MANDI FISH	mandií	m a nd/ⁿd ií/iː	1339.0	9752	LARGE	
Tapiete	LARGE MANDI FISH	mandiʔi	m a nd/ⁿd i ʔ i	1339.0	9752	LARGE	
Guarani_Paraguay	LARGE MANDI FISH	suruvi	s u r u v i	1338.0	9753	LARGE	
Omagua	LARGE MANDI FISH	mani	m a n i	1339.0	9752	LARGE	
Karo_Arara	LAUGH	ʃej	ʃ e j	1353.0	9805	LAUGH	
Purubora	LAUGH	haʔa	h a ʔ a	1353.0	9805	LAUGH	
Wayoro	LAUGH	keja	k e j a	1352.0	9801	LAUGH	
Wayoro	LAUGH	keto	k e t o	1352.0	9801	LAUGH	
Tupari	LAUGH	wajwajki	w ai w a j k i	1353.0	9805	LAUGH	
Akuntsu	LAUGH	ketʃo	k e tʃ o	1352.0	9801	LAUGH	
Mekens_Sakurabiat	LAUGH	toorekwa	t oː r e kʷ a	1355.0	9804	LAUGH	
Gaviao_Ikoloehj	LAUGH	nzeneá	n z e n eá	1354.0	9803	LAUGH	
Monde	LAUGH	zẽnẽ	z ẽ n ẽ	1354.0	9803	LAUGH	
Surui_Paiter	LAUGH	iɲaŋa	i ɲ a ŋ a	1354.0	9803	LAUGH	
Karitiana	LAUGH	anɨjɨ	a n ɨ j ɨ	1354.0	9803	LAUGH	
Karitiana	LAUGH	ahoj	a h o j	1353.0	9805	LAUGH	
Xipaya	LAUGH	jakáríku	j a k á/a r í/i k u	1355.0	9804	LAUGH	
Juruna_Yudja	LAUGH	lakáríku	l a k á/a r í/i k u	1355.0	9804	LAUGH	
Munduruku	LAUGH	wajwaj	w ai w a j	1353.0	9805	LAUGH	
Kuruaya	LAUGH	waj	w a j	1353.0	9805	LAUGH	
Satere_Mawe	LAUGH	kɨrɨ	k ɨ r ɨ	1352.0	9801	LAUGH	
Aweti	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Parakana	LAUGH	poka	p o k a	1351.0	9802	LAUGH	
Asurini_do_Tocantins	LAUGH	poka	p o k a	1351.0	9802	LAUGH	
Surui_Aikewara	LAUGH	tʃimeria	tʃ i m e r ia	1355.0	9804	LAUGH	
Tapirape_Apyawa	LAUGH	pokã	p o k ã	1351.0	9802	LAUGH	
Tembe	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Guajajara	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Apiaka	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Parintintin	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Amondawa	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Tenharim	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Urueuwauwau	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Kayabi	LAUGH	jai	j ai	1352.0	9801	LAUGH	
Arawete	LAUGH	juri	j u r i	1352.0	9801	LAUGH	
Guaja	LAUGH	maka	m a k a	1351.0	9802	LAUGH	
Emerillon_Teko	LAUGH	dʒeka	dʒ e k a	1351.0	9802	LAUGH	
Wayampi	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Ka_apor_Urubu	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Anambe	LAUGH	pukã	p u k ã	1351.0	9802	LAUGH	
Kamajura	LAUGH	huka	h u k a	1351.0	9802	LAUGH	
Asurini_do_Xingu	LAUGH	poka	p o k a	1351.0	9802	LAUGH	
Ava_Canoeiro	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Tupinamba	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Nheengatu	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Lingua_Geral_Paulista_Tupi_austral	LAUGH	puká	p u k á/a	1351.0	9802	LAUGH	
Yuki	LAUGH	jujai	j u j ai	1352.0	9801	LAUGH	
Guarayo	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Siriono	LAUGH	ika	i k a	1351.0	9802	LAUGH	
Warazu_Pauserna	LAUGH	púkaj	p ú/u k a j	1351.0	9802	LAUGH	
Chiriguano	LAUGH	púka	p ú/u k a	1351.0	9802	LAUGH	
Mbya	LAUGH	muka	m u k a	1351.0	9802	LAUGH	
Guarani_Paraguay	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Old_Guarani	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Guayaki_Ache	LAUGH	dʒuija	dʒ ui j a	1352.0	9801	LAUGH	
Xeta	LAUGH	dʒai	dʒ ai	1352.0	9801	LAUGH	
Kaiowa	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Tapiete	LAUGH	puka	p u k a	1351.0	9802	LAUGH	
Omagua	LAUGH	apuka	a p u k a	1351.0	9802	LAUGH	
Cocama_Cocamilla	LAUGH	apuka	a p u k a	1351.0	9802	LAUGH	
Zo_e	LAUGH	ojáj	o j á j	1352.0	9801	LAUGH	
Karo_Arara	LEAF	naʔjop	n a ʔ j o p	1364.0	9865	LEAF	
Purubora	LEAF	ap	a p	1356.0	9858	LEAF	
Ntogapid_Itogapuk	LEAF	waítʃi	w a í/i tʃ i	1363.0	9867	LEAF	
Ntogapid_Itogapuk	LEAF	maítʃib	m a í/i tʃ i b	1363.0	9867	LEAF	
Makurap	LEAF	ep	e p	1356.0	9858	LEAF	
Wayoro	LEAF	ndep	nd/ⁿd e p	1356.0	9858	LEAF	
Tupari	LEAF	ep	e p	1356.0	9858	LEAF	
Akuntsu	LEAF	ep	e p	1356.0	9858	LEAF	
Mekens_Sakurabiat	LEAF	eep	eː p	1356.0	9858	LEAF	
Cinta_Larga	LEAF	ep	e p	1356.0	9858	LEAF	
Gaviao_Ikoloehj	LEAF	ep	e p	1356.0	9858	LEAF	
Monde	LEAF	ep	e p	1356.0	9858	LEAF	
Arua	LEAF	tsep	ts e p	1356.0	9858	LEAF	
Zoro	LEAF	sep	s e p	1356.0	9858	LEAF	
Surui_Paiter	LEAF	ibhin	i bʰ i n	1360.0	9861	LEAF	
Karitiana	LEAF	epesap	e p e + s a p	1360.0	9861 179	TREE HAIR	
Arikem	LEAF	ɨbasaba	ɨ b a + s a b a	1360.0	9861 178	TREE HAIR	
Xipaya	LEAF	supa	s u p a	1360.0	9861	LEAF	
Juruna_Yudja	LEAF	úpá	ú/u p á/a	1356.0	9858	LEAF	
Munduruku	LEAF	dəp	d ə p	1356.0	9858	LEAF	
Kuruaya	LEAF	tɨp	t ɨ p	1356.0	9858	LEAF	
Kuruaya	LEAF	lɨp	l ɨ p	1356.0	9858	LEAF	
Satere_Mawe	LEAF	op	o p	1356.0	9858	LEAF	
Aweti	LEAF	op	o p	1356.0	9858	LEAF	
Parakana	LEAF	aw	a w	1357.0	9860	LEAF	
Asurini_do_Tocantins	LEAF	aw	a w	1357.0	9860	LEAF	
Surui_Aikewara	LEAF	ara	a r a	1362.0	9863	LEAF	
Tapirape_Apyawa	LEAF	ap	a p	1356.0	9858	LEAF	
